"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2017,"D",85,"Grass","Lasthenia californica",64,15,0,0,0,100
2017,"D",85,"Grass","Calycadenia pauciflora",21,15,0,0,0,31
2017,"D",85,"Grass","Agoseris heterophylla",94,15,0,0,0,94
2017,"D",85,"No Grass","Hemizonia congesta",10,10,7,3,10,32
2017,"D",85,"No Grass","Clarkia purpurea",15,15,0,4,4,30
2017,"D",85,"Thatch","Lasthenia californica",63,15,1,1,2,100
2017,"D",85,"No Grass","Agoseris heterophylla",54,15,0,0,0,94
2017,"D",85,"Thatch","Calycadenia pauciflora",16,15,0,11,11,31
2017,"D",85,"Thatch","Plantago erecta",51,15,1,1,2,99
2017,"D",85,"Thatch","Agoseris heterophylla",94,15,0,3,3,94
2017,"D",85,"No Grass","Lasthenia californica",81,14,1,0,1,100
2017,"D",85,"No Grass","Plantago erecta",80,7,0,1,1,99
2017,"C",86,"Thatch","Clarkia purpurea",18,15,2,10,12,30
2017,"C",86,"Grass","Hemizonia congesta",16,15,0,5,5,32
2017,"C",86,"Grass","Calycadenia pauciflora",16,15,0,2,2,31
2017,"C",86,"No Grass","Lasthenia californica",48,15,0,0,0,100
2017,"C",86,"Grass","Agoseris heterophylla",94,15,0,0,0,94
2017,"C",86,"Grass","Clarkia purpurea",18,15,0,10,10,30
2017,"C",86,"Grass","Lasthenia californica",85,15,0,0,0,100
2017,"C",86,"Thatch","Agoseris heterophylla",94,15,0,2,2,94
2017,"C",86,"Thatch","Calycadenia pauciflora",5,3,0,3,3,31
2017,"C",86,"No Grass","Plantago erecta",74,15,0,0,0,99
2017,"C",86,"No Grass","Agoseris heterophylla",94,15,0,3,3,94
2017,"C",86,"Thatch","Plantago erecta",68,15,1,0,1,99
2017,"C",86,"Grass","Plantago erecta",77,15,0,0,0,99
2017,"C",86,"Thatch","Hemizonia congesta",17,15,4,2,6,32
